review_id,star_filter,rating,title,body,author,date_raw,verified_purchase,helpful
R19LZ3X2FR4V7X,four_star,4.0,Very Good tone,Good product and the size is massive it lasts for a long time,Stephanie,Reviewed in the United Kingdom on 6 June 2026,True,
RONQ7CFJ5AG5A,four_star,4.0,Worth the price,It does make my skin feel soft after using but haven't noticed any real changes to my skin after 3 weeks of using.,Buyer,Reviewed in the United Kingdom on 16 December 2025,True,One person found this helpful
R11YWKE4EN5IFW,four_star,4.0,Great for skin barrier,"Didn’t burn and it’s doing good for my skin barrier, the size also makes the purchase so worth it, would definitely be buying again",Rowina Agbandje,Reviewed in the United Kingdom on 20 October 2025,True,One person found this helpful
RCIZENNLFL0QW,four_star,4.0,Very moisturizing,So far this has been great. I have super sensitive skin from and autoimmune disease flare up and this has helped heal my skin.,reader985,Reviewed in the United States on 31 May 2026,True,
R3691TLXZZCPIW,four_star,4.0,"Hydrating, calming and refreshing!","I have really been enjoying this toner! For starters the size of the bottle is huge and the price is just right for a milky toner that is packed with ceramides, Centella Asiatica, panthenol, and more. I love how hydrating and calming this toner is, and it's great for morning use when prepping your skin for makeup. I've also been using this on my body after getting out of the shower before putting on any lotion. It helps to seal in the hydration. I definitely recommend giving this one a try!",Emilie Nerl,Reviewed in the United States on 3 April 2026,True,
R39AF3ZZZRJK6D,four_star,4.0,Epitome of Glass Skin,"This milky toner lives up to its hype! This 500ml bottle of toner will literally last you forever and the hydration is unreal. This reminds me of a milky rice toner which is why the name is perfect. If you’re looking for a hydrating milky toner that will last you a long time, this is the one!!!",Kaitlyn,Reviewed in the United States on 26 March 2026,True,
R2E9XRZA28HYSX,four_star,4.0,Ist ganz nett,"Ich mag ihn sehr gerne, ob ich nach kaufe das weiß ich nicht ist flüssig. Ich merk keinen Unterschied zu vorher, wo ich ihn nicht benutzt habe, macht aber ein angenehmes frisches Hautgefühl. Der Zitronengras Duft fördert das frische Gefühl noch mal",Alice,Reviewed in Germany on 8 March 2026,True,
R1VJG2GV1VQJCS,four_star,4.0,"La formula es ligera, pero no es apta para pieles sensibles o con la barrera cutanea dañada","Si hidrata, lo compré porque mi piel es muy sensible, lamentablemente si uso demasiadas capas me empieza a quemar y me deja la piel roja. Así que lo usaré en mi cuerpo para no desperdiciar mi dinero y tendré que comprarme otro producto para el rostro.

Si tu piel es sensible a fragancias o aceites NO compres este producto contiene Limonene, que es un aceite escencial.

La experiencia es bonita, porque no tapa los poros, pero lamentablemente, a pesar de que investigué el producto sobre otros alergenos antes de comprarlo... parece que mi piel es extremadamente sensible, mas allá de los alergenos comunes. El test del antebrazo no funcionó mucho conmigo porque la barrera de mi rostro parece estar dañada a comparación a la piel de mi brazo.",Yossarian Jáuregui,Reviewed in Mexico on 25 January 2026,True,
RZ1AO7G6TFWDZ,four_star,4.0,Nice mochi toner,I’ve been using it for quite a while and I like it’s moisturising effect the most.,svt.carat,Reviewed in Germany on 29 October 2025,True,
R2S8Z2Y2X2858M,four_star,4.0,Wish it wasn't Scented,"Not that fond of the scent - though I am scent-sensitive. I would prefer something without perfume in it. For the price, it does a great job. I resorted to this one after my go-to went up a lot in price.",Chsgrl76,Reviewed in the United States on 1 June 2025,True,
R8TLSH1M86H19,four_star,4.0,Good,Good,Dannyboy,Reviewed in Germany on 12 May 2025,True,
RIE5QQ2L5TN3S,four_star,4.0,Hidratante,"Bueno igual que imagen de venta, huele delicioso",Pol,Reviewed in Mexico on 26 April 2025,True,
R2YWPD8ILBV5TT,four_star,4.0,Smoothie for your skin!,This is some good stuff! So soft and nourishing,Luvmyfurbaby,Reviewed in the United States on 7 January 2025,True,
R3U0LPEXQOMXPH,four_star,4.0,Básico y simple,"Funciona para regular tu ph después de lavar el rostro, es ligero y deja la piel hidratada para aplicar los serum pero no hace una diferencia muy relevante. Lo compro porque me gusta mojar mi cara antes de aplicar el ácido hiáluronico y el olor es súper agradable.",aghp96,Reviewed in Mexico on 17 November 2024,True,
R26BCLJYW8ZZUF,four_star,4.0,Hydrating toner,"I love a good hydrating toner, and this one did not disappoint. It is milky and fairly thick,
And it layers nicely over my Round Lab Dodku toner. It makes my skin feel supple and nourished. This also works great under makeup: no pilling or clumping. It can provide a nice base hydration before serums/moisturizer/spf.

The scent is also quite light. I am someone sensitive to fragrances skincare, and this causes me no issues- I actually like it a lot.

The amount you get for the price is also a big plus! The only reason I am not giving five stars is because there are other milky timers I like a little more than this one (especially Tirtir Milk Skin and I’m From Rice Toner). But this is a great value and good, solid product. Highly recommend.",Kimberly,Reviewed in the United States on 1 May 2024,True,
R380NZUPPLG7D,four_star,4.0,the best toner for dry skin!,"it would be absolutely perfect it there were a no fragrance option, but doesn’t smell horrible like the other reviews had mentioned. sweet like fruity pebbles.",Amazon Customer,Reviewed in the United States on 18 March 2024,True,
