rank,bigram,count
1,sensitive skin,45
2,glass skin,43
3,dry skin,35
4,love toner,34
5,leaves skin,29
6,makes skin,25
7,skin feels,25
8,skin barrier,24
9,mochi toner,23
10,hydrating toner,22
11,milky toner,21
12,highly recommend,20
13,skin look,19
14,skin feel,18
15,skin feeling,18
16,skin looks,18
17,absolutely love,17
18,skin soft,17
19,skin toner,17
20,great value,16
21,skincare routine,16
22,skin care,14
23,bottle huge,13
24,toner love,13
25,ceramide mochi,13
26,holy grail,13
27,absorbs quickly,13
28,toner toner,13
29,toner great,12
30,best toner,12
