rank,word,count,review_count,review_pct
1,skin,609,273,66.7
2,toner,403,220,53.8
3,love,157,128,31.3
4,like,127,98,24.0
5,great,122,95,23.2
6,hydrating,108,82,20.0
7,good,102,79,19.3
8,bottle,90,78,19.1
9,face,88,67,16.4
10,dry,82,64,15.6
11,feels,73,58,14.2
12,sensitive,71,53,13.0
13,amazing,66,57,13.9
14,soft,62,60,14.7
15,definitely,55,52,12.7
16,milky,53,44,10.8
17,routine,51,46,11.2
18,feel,50,44,10.8
19,feeling,49,40,9.8
20,price,48,42,10.3
21,glass,48,40,9.8
22,well,48,42,10.3
23,skincare,47,41,10.0
24,best,47,35,8.6
25,moisturizing,46,43,10.5
26,hydrated,46,42,10.3
27,makes,43,41,10.0
28,recommend,43,41,10.0
29,tonymoly,43,37,9.0
30,nice,42,36,8.8
31,without,42,38,9.3
32,leaves,41,41,10.0
33,texture,40,36,8.8
34,time,38,36,8.8
35,scent,38,32,7.8
36,hydration,37,31,7.6
37,works,37,37,9.0
38,products,37,29,7.1
39,super,36,36,8.8
40,mochi,36,31,7.6
41,toners,36,33,8.1
42,now,35,31,7.6
43,look,35,31,7.6
44,sticky,34,32,7.8
45,ceramide,34,25,6.1
46,looking,33,30,7.3
47,day,33,30,7.3
48,first,32,31,7.6
49,favorite,32,26,6.4
50,smells,31,29,7.1
51,absorbs,31,31,7.6
52,barrier,30,24,5.9
53,light,29,25,6.1
54,value,29,26,6.4
55,absolutely,29,27,6.6
56,lightweight,29,27,6.6
57,glow,29,28,6.8
58,tried,28,25,6.1
59,worth,27,25,6.1
60,huge,27,27,6.6
61,acne,26,20,4.9
62,smooth,26,25,6.1
63,highly,25,24,5.9
64,moisturized,25,25,6.1
65,quickly,25,25,6.1
66,glowy,25,23,5.6
67,size,24,24,5.9
68,bouncy,24,20,4.9
69,noticed,23,20,4.9
70,smell,23,22,5.4
71,gives,23,21,5.1
72,looks,23,21,5.1
73,perfect,22,22,5.4
74,moisturizer,22,19,4.6
75,gentle,22,20,4.9
76,apply,22,19,4.6
77,since,22,17,4.2
78,makeup,21,18,4.4
79,little,21,17,4.2
80,money,21,19,4.6
81,helps,20,17,4.2
82,last,20,18,4.4
83,big,20,20,4.9
84,moisture,20,18,4.4
85,plump,20,19,4.6
86,found,20,18,4.4
87,long,19,18,4.4
88,refreshing,19,19,4.6
89,piel,19,8,2.0
90,care,19,18,4.4
91,ever,19,18,4.4
92,try,18,16,3.9
93,especially,18,17,4.2
94,daily,18,18,4.4
95,always,18,15,3.7
96,wonder,18,17,4.2
97,soothing,18,14,3.4
98,oily,18,16,3.9
99,body,17,14,3.4
100,night,17,15,3.7
101,irritation,17,16,3.9
102,see,17,14,3.4
103,make,16,16,3.9
104,layers,16,15,3.7
105,keep,16,16,3.9
106,layer,16,15,3.7
107,days,16,14,3.4
108,never,16,13,3.2
109,glowing,16,16,3.9
110,lasts,15,15,3.7
111,far,15,14,3.4
112,actually,15,13,3.2
113,different,15,12,2.9
114,don,15,11,2.7
115,ingredients,15,13,3.2
116,happy,15,15,3.7
117,started,15,14,3.4
118,healthy,15,15,3.7
119,right,14,14,3.4
120,morning,14,14,3.4
121,think,14,12,2.9
122,months,14,13,3.2
123,cream,14,11,2.7
124,heavy,14,14,3.4
125,ceramides,13,13,3.2
126,que,13,8,2.0
127,amount,13,13,3.2
128,put,13,13,3.2
129,want,13,13,3.2
130,thicker,13,13,3.2
131,new,13,12,2.9
132,holy,13,13,3.2
133,grail,13,13,3.2
134,mask,13,11,2.7
135,weeks,12,12,2.9
136,didn,12,9,2.2
137,literally,12,12,2.9
138,forever,12,12,2.9
139,fragrance,12,11,2.7
140,doesn,12,11,2.7
141,reviews,12,10,2.4
142,almost,12,11,2.7
143,need,12,11,2.7
144,people,12,11,2.7
145,give,12,12,2.9
146,repurchase,12,12,2.9
147,clean,12,12,2.9
148,honestly,12,10,2.4
149,korean,12,12,2.9
150,making,12,12,2.9
151,results,12,12,2.9
152,quality,12,11,2.7
153,radiant,12,11,2.7
154,help,12,11,2.7
155,everyday,12,12,2.9
156,ich,11,5,1.2
157,though,11,10,2.4
158,something,11,11,2.7
159,large,11,10,2.4
160,work,11,11,2.7
161,made,11,11,2.7
162,usually,11,11,2.7
163,prone,11,10,2.4
164,years,11,9,2.2
165,week,11,11,2.7
166,leaving,11,11,2.7
167,back,11,9,2.2
168,loved,11,11,2.7
169,lovely,11,11,2.7
170,difference,11,11,2.7
171,excellent,11,10,2.4
172,easily,11,11,2.7
173,step,11,10,2.4
174,overall,11,10,2.4
175,water,11,10,2.4
176,helped,10,10,2.4
177,thick,10,10,2.4
178,leave,10,9,2.2
179,cotton,10,10,2.4
180,say,10,10,2.4
181,felt,10,9,2.2
182,month,10,10,2.4
183,better,10,10,2.4
184,half,10,10,2.4
185,citrus,10,8,2.0
186,enough,10,9,2.2
187,hands,10,9,2.2
188,consistency,10,10,2.4
189,irritate,10,10,2.4
190,staple,10,10,2.4
191,non,10,10,2.4
192,times,10,10,2.4
193,finally,10,9,2.2
194,producto,9,5,1.2
195,job,9,9,2.2
196,serum,9,9,2.2
197,serums,9,9,2.2
198,plus,9,9,2.2
199,once,9,8,2.0
200,however,9,8,2.0
201,greasy,9,9,2.2
202,rosacea,9,8,2.0
203,unfortunately,9,7,1.7
204,point,9,8,2.0
205,dehydrated,9,8,2.0
206,combination,9,9,2.2
207,slightly,9,9,2.2
208,trying,9,9,2.2
209,beautiful,9,8,2.0
210,deeply,9,8,2.0
211,dewy,9,7,1.7
212,become,9,9,2.2
213,buying,8,8,2.0
214,lotion,8,8,2.0
215,rice,8,6,1.5
216,para,8,5,1.2
217,muy,8,6,1.5
218,effect,8,8,2.0
219,nourishing,8,8,2.0
220,supple,8,8,2.0
221,year,8,8,2.0
222,spray,8,7,1.7
223,cleansing,8,7,1.7
224,left,8,8,2.0
225,bad,8,7,1.7
226,den,8,4,1.0
227,lemon,8,8,2.0
228,recommended,8,8,2.0
229,sure,8,8,2.0
230,redness,8,8,2.0
231,immediately,8,8,2.0
232,know,8,8,2.0
233,break,8,8,2.0
234,bang,8,6,1.5
235,buck,8,6,1.5
236,everything,8,8,2.0
237,pretty,8,8,2.0
238,watery,8,8,2.0
239,sale,8,5,1.2
240,moly,8,7,1.7
241,ein,7,4,1.0
242,pero,7,5,1.2
243,los,7,4,1.0
244,wish,7,7,1.7
245,acid,7,7,1.7
246,couple,7,6,1.5
247,hand,7,7,1.7
248,pleasant,7,6,1.5
249,caused,7,7,1.7
250,applying,7,7,1.7
251,extra,7,5,1.2
252,moisturizes,7,7,1.7
253,original,7,6,1.5
254,twice,7,7,1.7
255,pores,7,6,1.5
256,away,7,7,1.7
257,due,7,6,1.5
258,impressed,7,7,1.7
259,find,7,7,1.7
260,second,7,7,1.7
261,wonders,7,7,1.7
262,hydrates,7,7,1.7
263,beauty,7,7,1.7
