아마존 리뷰 고객 단어 빈도 TOP 50  (총 409개 리뷰)
========================================================
  순위 단어                    언급횟수    리뷰수      비율
--------------------------------------------------------
   1 skin                   609    273   66.7%
   2 toner                  403    220   53.8%
   3 love                   157    128   31.3%
   4 like                   127     98   24.0%
   5 great                  122     95   23.2%
   6 hydrating              108     82   20.0%
   7 good                   102     79   19.3%
   8 bottle                  90     78   19.1%
   9 face                    88     67   16.4%
  10 dry                     82     64   15.6%
  11 feels                   73     58   14.2%
  12 sensitive               71     53   13.0%
  13 amazing                 66     57   13.9%
  14 soft                    62     60   14.7%
  15 definitely              55     52   12.7%
  16 milky                   53     44   10.8%
  17 routine                 51     46   11.2%
  18 feel                    50     44   10.8%
  19 feeling                 49     40    9.8%
  20 price                   48     42   10.3%
  21 glass                   48     40    9.8%
  22 well                    48     42   10.3%
  23 skincare                47     41   10.0%
  24 best                    47     35    8.6%
  25 moisturizing            46     43   10.5%
  26 hydrated                46     42   10.3%
  27 makes                   43     41   10.0%
  28 recommend               43     41   10.0%
  29 tonymoly                43     37    9.0%
  30 nice                    42     36    8.8%
  31 without                 42     38    9.3%
  32 leaves                  41     41   10.0%
  33 texture                 40     36    8.8%
  34 time                    38     36    8.8%
  35 scent                   38     32    7.8%
  36 hydration               37     31    7.6%
  37 works                   37     37    9.0%
  38 products                37     29    7.1%
  39 super                   36     36    8.8%
  40 mochi                   36     31    7.6%
  41 toners                  36     33    8.1%
  42 now                     35     31    7.6%
  43 look                    35     31    7.6%
  44 sticky                  34     32    7.8%
  45 ceramide                34     25    6.1%
  46 looking                 33     30    7.3%
  47 day                     33     30    7.3%
  48 first                   32     31    7.6%
  49 favorite                32     26    6.4%
  50 smells                  31     29    7.1%
